site,b_r,bag,number,outplant_time,empty_dish,whole_oyster,length,dry_whole,dry_tissue,
C,b,1,2,51.28571429,2.5133,26.1062,77.51,15.7296,3.0769,
C,b,1,3,51.28571429,2.6046,17.9052,62.92,11.6582,3.0507,
C,b,1,4,51.28571429,2.5483,25.8111,79.29,14.8632,2.9116,
C,b,1,5,51.28571429,2.5625,33.8014,92.64,23.8309,3.3771,
C,b,1,6,51.28571429,2.6275,18.6349,74.49,11.7089,2.99,
C,b,1,7,51.28571429,2.5475,22.2431,46.57,14.5041,2.9354,
C,b,1,8,51.28571429,2.7533,37.3376,101.55,24.6621,3.7488,
C,b,1,9,51.28571429,2.5357,18.0455,63.47,12.6418,2.9613,
C,b,1,10,51.28571429,2.6459,25.2984,82.36,15.5784,3.1574,
C,b,2,1,51.28571429,2.7657,32.0645,85.65,19.456,3.5523,
C,b,2,2,51.28571429,2.5453,8.5337,47.95,5.5687,2.6532,
C,b,2,3,51.28571429,2.6561,41.2554,85.52,23.8653,3.7164,
C,b,2,4,51.28571429,2.7883,42.2169,92.71,25.787,4.1204,
C,b,2,5,51.28571429,2.5631,33.0463,76.37,19.2844,3.2235,
C,b,2,6,51.28571429,2.4995,23.6372,91.83,16.4916,2.9992,
C,b,2,7,51.28571429,2.6543,19.4532,63.5,11.1039,2.872,
C,b,2,8,51.28571429,2.6772,34.581,74.41,23.1636,3.6942,
C,b,2,9,51.28571429,2.68861,11.2465,46.82,7.0676,2.7972,
C,b,2,10,51.28571429,2.5316,10.3252,51.2,7.0787,2.695,
C,b,3,1,51.28571429,2.562,32.7013,73.33,19.1309,3.3526,
C,b,3,2,51.28571429,2.5012,34.4069,77.85,19.8369,3.175,
C,b,3,3,51.28571429,2.4533,31.2446,77.57,17.9274,2.9871,
C,b,3,4,51.28571429,2.4477,36.9224,88.43,23.6386,3.2928,
C,b,3,5,51.28571429,2.5373,20.1616,71.35,12.1738,2.8409,
C,b,3,6,51.28571429,2.5934,27.5251,72.49,17.0756,3.0568,
C,b,3,7,51.28571429,2.5253,9.1063,54.42,5.8428,2.5796,
C,b,3,8,51.28571429,2.7737,30.2808,68.4,18.2399,3.3791,
C,b,3,9,51.28571429,2.6887,8.2008,44.12,5.7154,2.7192,
C,b,3,10,51.28571429,2.4922,32.4871,59.64,21.8524,3.2231,
C,b,4,1,51.28571429,2.5215,23.3444,70.13,13.8585,2.9714,
C,b,4,2,51.28571429,2.5306,26.8783,68.99,15.8883,2.8883,
C,b,4,3,51.28571429,2.5417,20.3103,69.72,13.4814,2.8988,
C,b,4,4,51.28571429,2.6378,26.7039,73.76,17.3507,3.1532,
C,b,4,5,51.28571429,2.5655,12.7305,52.03,8.6803,2.7086,
C,b,4,6,51.28571429,2.5531,7.1517,42.25,5.1152,2.5826,
C,b,4,7,51.28571429,2.5203,8.2283,38.67,5.5739,2.5775,
C,b,4,8,51.28571429,2.4866,5.63,32.17,4.5025,2.5211,
C,b,4,9,51.28571429,2.6782,19.035,65.05,12.5053,3.0501,
C,b,4,10,51.28571429,2.5252,18.3663,60.69,12.1175,2.8966,
C,b,5,1,51.28571429,2.571,13.421,51.86,8.8526,2.7106,
C,b,5,2,51.28571429,2.5161,17.469,56.83,11.4262,2.7031,
C,b,5,3,51.28571429,2.7067,32.2764,70.75,20.7472,3.4158,
C,b,5,4,51.28571429,2.5718,10.9659,48.05,7.3932,2.7129,
C,b,5,5,51.28571429,2.6053,25.5908,73.57,16.8132,3.0628,
C,b,5,6,51.28571429,2.5438,7.7403,36.92,6.0603,2.6542,
C,b,5,7,51.28571429,2.6003,16.2826,51.71,10.7271,2.8196,
C,b,5,8,51.28571429,2.5348,20.1849,64.18,11.8861,2.7746,
C,b,5,9,51.28571429,2.4998,31.7377,80.94,18.6102,2.9848,
C,b,5,10,51.28571429,2.4805,17.6743,59.08,11.402,2.814,
A,b,1,1,51.57142857,2.5234,34.1671,72.32,23.5617,3.7322,
A,b,1,2,51.57142857,2.489,22.8518,68.17,15.3015,3.1514,
A,b,1,3,51.57142857,2.5008,18.6705,65.64,11.1558,2.9089,
A,b,1,4,51.57142857,2.47,32.2949,95.83,20.9828,3.2821,
A,b,1,5,51.57142857,2.5173,23.309,69.96,14.4253,3.0203,
A,b,1,6,51.57142857,2.4962,6.2107,33.98,4.9771,2.5707,
A,b,1,7,51.57142857,2.5052,32.973,87.08,20.6335,3.5911,
A,b,1,8,51.57142857,2.489,33.7024,83.68,21.4283,3.5367,
A,b,1,9,51.57142857,2.5084,22.1688,62.01,12.6391,2.8383,
A,b,2,1,51.57142857,2.4801,23.4777,58.88,15.3497,3.0671,
A,b,2,2,51.57142857,2.4614,8.485,47.19,6.2086,2.6063,
A,b,2,3,51.57142857,2.4919,20.2191,62.9,13.133,2.9457,
A,b,2,4,51.57142857,2.4646,25.2795,60.59,16.7705,2.9867,
A,b,2,5,51.57142857,2.4751,24.1679,79.48,15.8201,3.0626,
A,b,2,6,51.57142857,2.5706,23.1662,63.82,17.1412,3.2607,
A,b,2,7,51.57142857,2.6132,30.167,67.69,19.6211,3.6215,
A,b,2,8,51.57142857,2.6325,11.9491,62.23,8.5049,2.9358,
A,b,2,9,51.57142857,2.5461,33.2828,77.61,21.0189,3.6534,
A,b,2,10,51.57142857,2.5114,24.2617,58.91,15.7029,3.2417,
A,b,3,1,51.57142857,2.4893,21.1775,64.96,14.4472,3.0218,
A,b,3,2,51.57142857,2.5066,30.5937,74.5,19.3865,3.3991,
A,b,3,3,51.57142857,2.4954,17.3162,62.75,12.3614,2.6197,
A,b,3,4,51.57142857,2.5117,8.4262,32.73,6.0839,2.9191,
A,b,3,5,51.57142857,2.4659,18.4123,62.43,11.3246,2.8286,
A,b,3,6,51.57142857,2.517,12.4045,52.5,8.2492,2.7837,
A,b,3,7,51.57142857,2.5064,8.356,35.65,6.0916,2.5921,
A,b,3,8,51.57142857,2.5374,15.2791,50.82,10.812,2.7942,
A,b,3,9,51.57142857,2.628,27.8706,51.5,17.0761,3.2368,
A,b,4,1,51.57142857,2.5188,20.8214,51.21,13.2748,2.9391,
A,b,4,2,51.57142857,2.4846,25.9917,71.97,16.7748,3.3515,
A,b,4,3,51.57142857,2.4693,6.0061,37.5,4.7083,2.5284,
A,b,4,4,51.57142857,2.5374,15.3018,59.57,10.3965,3.0023,
A,b,4,5,51.57142857,2.5905,20.7041,62.71,15.3956,3.2647,
A,b,4,6,51.57142857,2.4908,28.4717,78.69,16.9231,3.0915,
A,b,4,7,51.57142857,2.5158,23.5319,68.35,12.8712,2.8466,
A,b,4,8,51.57142857,2.4865,31.9825,69.2,18.789,3.2233,
A,b,4,9,51.57142857,2.535,17.9281,60.29,10.9183,2.9946,
A,b,4,10,51.57142857,2.6069,37.787,91.69,22.5365,3.412,
A,b,5,1,51.57142857,2.5053,42.6316,68.77,26.716,4.0909,
A,b,5,2,51.57142857,2.4936,10.9152,40.86,7.6021,2.6376,
A,b,5,3,51.57142857,2.536,22.2722,63.35,13.8764,3.0078,
A,b,5,4,51.57142857,2.4934,17.5437,55.33,11.4213,2.9469,
A,b,5,5,51.57142857,2.5822,15.6776,59.12,10.3396,3.0021,
A,b,5,6,51.57142857,2.5745,28.6437,76.36,19.5126,3.6688,
A,b,5,7,51.57142857,2.4853,18.1689,65.1,12.7329,2.9869,
A,b,5,8,51.57142857,2.4616,27.238,65.71,15.806,3.3289,
A,b,5,9,51.57142857,2.4681,21.8144,65.49,12.31,2.862,
A,b,5,10,51.57142857,2.5058,11.931,49.85,8.0843,2.7218,
B,b,1,1,51.71428571,2.5096,19.2619,68.44,11.6721,2.9049,
B,b,1,2,51.71428571,2.5887,13.2967,49.58,8.2583,2.7034,
B,b,1,3,51.71428571,2.5697,16.3747,44.86,10.4549,2.8462,
B,b,1,4,51.71428571,2.589,18.8593,49.4,12.1659,2.9705,
B,b,1,5,51.71428571,2.5308,16.8938,54.58,10.8023,2.8035,
B,b,1,6,51.71428571,2.5,14.5992,51.56,9.3876,2.7605,
B,b,1,7,51.71428571,2.5199,9.4542,39.13,6.5797,2.6193,
B,b,1,8,51.71428571,2.5105,18.7459,65.04,10.2217,2.7713,
B,b,1,9,51.71428571,2.5867,9.6319,38.32,6.6732,2.6867,
B,b,1,10,51.71428571,2.7014,22.7061,68.34,14.7869,3.027,
B,b,2,1,51.71428571,2.5729,11.7462,44.91,8.0965,2.713,
B,b,2,2,51.71428571,2.5008,12.8795,52.3,9.4732,2.6999,
B,b,2,3,51.71428571,2.6294,18.424,57.45,12.808,2.9442,
B,b,2,4,51.71428571,2.4858,4.3182,24.82,3.6383,2.5253,
B,b,2,5,51.71428571,2.5082,8.336,39.56,6.1925,2.6543,
B,b,2,6,51.71428571,2.576,16.5832,43.31,10.4063,2.7976,
B,b,2,7,51.71428571,2.5392,18.9802,52.42,12.0895,3.0247,
B,b,2,8,51.71428571,2.5575,20.2771,60.69,13.5616,2.9122,
