site,b_r,bag,outplant_time,shell_length,month,growth_rate
A,r,2,51.71428571,90.96,12,0.7292569061377836
A,r,2,51.71428571,66.79,12,0.26188121549131627
A,r,3,51.71428571,78.12,12,0.480969613299528
A,r,3,51.71428571,92.77,12,0.7642569061406842
A,r,3,51.71428571,74.81,12,0.41696408843234517
A,r,3,51.71428571,69.74,12,0.3189254143910711
A,r,3,51.71428571,67.83,12,0.2819917127305518
A,r,3,51.71428571,56.99,12,0.07237845304467229
A,r,3,51.71428571,74.86,12,0.4179309392611545
A,r,3,51.71428571,59.5,12,0.12091436465090451
A,r,3,51.71428571,78.32,12,0.48483701661476536
A,r,3,51.71428571,65.96,12,0.24583149173307983
A,r,4,51.71428571,89.59,12,0.702765193428406
A,r,4,51.71428571,66.45,12,0.2553066298554122
A,r,4,51.71428571,84,12,0.5946712707675142
A,r,4,51.71428571,81.97,12,0.5554171271178523
A,r,4,51.71428571,61.85,12,0.1663563536049467
A,r,4,51.71428571,68.13,12,0.28779281770340814
A,r,4,51.71428571,71.83,12,0.3593397790353044
A,r,4,51.71428571,67.89,12,0.2831519337251231
A,r,4,51.71428571,65.69,12,0.24061049725750913
A,r,4,51.71428571,81.81,12,0.5523232044656622
A,r,5,51.71428571,62.71,12,0.1829861878604685
A,r,5,51.71428571,68.47,12,0.2943674033393122
A,r,5,51.71428571,66.99,12,0.26574861880655365
A,r,5,51.71428571,85.4,12,0.6217430939741777
A,r,5,51.71428571,62.35,12,0.17602486189304076
A,r,5,51.71428571,65.86,12,0.24389779007546114
A,r,5,51.71428571,70.22,12,0.32820718234764146
A,r,5,51.71428571,49.94,12,-0.06394751381745425
A,r,5,51.71428571,74.52,12,0.41135635362525047
A,r,5,51.71428571,71.91,12,0.3608867403613994
D,r,1,15.85714286,62.89,4,1.6769729726708156
D,r,1,15.85714286,39.69,4,0.21390990987136732
D,r,1,15.85714286,52.16,4,1.0003063061260706
D,r,1,15.85714286,45.35,4,0.5708468467439916
D,r,1,15.85714286,34.54,4,-0.11086486484488939
D,r,1,15.85714286,61.14,4,1.56661261233034
D,r,1,15.85714286,52.28,4,1.007873873692275
D,r,1,15.85714286,43.66,4,0.46427027018661765
D,r,1,15.85714286,64.99,4,1.809405405079386
D,r,1,15.85714286,52.01,4,0.9908468466683157
D,r,2,15.85714286,44.54,4,0.5197657656721141
D,r,2,15.85714286,51.98,4,0.9889549547767645
D,r,2,15.85714286,38.81,4,0.1584144143858713
D,r,2,15.85714286,58.52,4,1.4013873871348852
D,r,2,15.85714286,68.65,4,2.04021621584861
D,r,2,15.85714286,45.37,4,0.5721081080050253
D,r,2,15.85714286,64.07,4,1.7513873870718215
D,r,2,15.85714286,45.45,4,0.5771531530491617
D,r,2,15.85714286,60.87,4,1.5495855853063807
D,r,2,15.85714286,51.18,4,0.9385045043354044
