date_time,temp,sal,cond,s_v
42941.76389,17.21,21.84,29.48,1498.15
42941.77431,15.88,22.24,29.09,1494.42
42941.78472,15.58,22.23,28.88,1493.43
42941.79514,15.42,22.27,28.82,1492.98
42941.80556,14.78,22.52,28.69,1491.17
42941.81597,14.63,22.56,28.64,1490.71
42941.82639,14.41,22.56,28.49,1489.99
42941.83681,14.29,22.61,28.47,1489.64
42941.84722,14.23,22.65,28.47,1489.48
42941.85764,14.1,22.67,28.42,1489.09
42941.86806,14.2,22.64,28.44,1489.37
42941.87847,14.1,22.67,28.42,1489.09
42941.88889,14.29,22.61,28.47,1489.64
42941.89931,15.61,22.32,29,1493.63
42941.90972,15.7,22.29,29.03,1493.89
42941.92014,15.09,22.42,28.77,1492.05
42941.93056,14.9,22.42,28.66,1491.46
42941.94097,14.78,22.39,28.54,1491.01
42941.95139,14.69,22.42,28.51,1490.74
42941.96181,14.72,22.4,28.51,1490.82
42941.97222,14.78,22.36,28.51,1490.98
42941.98264,14.81,22.34,28.51,1491.06
42941.99306,14.78,22.34,28.48,1490.95
42942.00347,14.75,22.33,28.45,1490.84
42942.01389,14.78,22.28,28.42,1490.89
42942.02431,15.06,22.22,28.53,1491.73
42942.03472,15,22.23,28.5,1491.54
42942.04514,15.7,22.05,28.75,1493.61
42942.05556,16.18,21.98,28.98,1495.08
42942.06597,16.49,21.91,29.09,1495.96
42942.07639,16.67,21.88,29.18,1496.5
42942.08681,16.36,21.95,29.07,1495.63
42942.09722,16.09,21.9,28.83,1494.7
42942.10764,16.64,21.82,29.09,1496.34
42942.11806,16.73,21.82,29.15,1496.62
42942.12847,16.85,21.78,29.17,1496.95
42942.13889,17.03,21.75,29.26,1497.49
42942.14931,17.33,21.71,29.41,1498.38
42942.15972,17.6,21.67,29.53,1499.16
42942.17014,17.24,21.74,29.38,1498.13
42942.18056,17.39,21.68,29.41,1498.52
42942.19097,17.57,21.69,29.53,1499.08
42942.20139,17.6,21.7,29.57,1499.19
42942.21181,16.91,21.88,29.33,1497.25
42942.22222,16.55,21.95,29.19,1496.2
42942.23264,16.64,21.93,29.22,1496.46
42942.24306,16.73,21.9,29.24,1496.71
42942.25347,16.76,21.88,29.24,1496.79
42942.26389,16.52,21.97,29.19,1496.13
42942.27431,16.39,21.99,29.13,1495.77
42942.28472,16.3,22.01,29.1,1495.51
42942.29514,16.73,21.95,29.31,1496.78
42942.30556,16.88,21.92,29.37,1497.21
42942.31597,17,21.88,29.4,1497.54
42942.32639,17.03,21.89,29.43,1497.64
42942.33681,17.06,21.87,29.43,1497.72
42942.34722,17.03,21.86,29.39,1497.61
42942.35764,17.24,21.85,29.52,1498.25
42942.36806,17.39,21.87,29.64,1498.74
42942.37847,17,21.9,29.43,1497.57
42942.38889,17.03,21.89,29.43,1497.64
42942.39931,17.12,21.86,29.46,1497.89
42942.40972,17.15,21.9,29.52,1498.03
42942.42014,16.97,21.84,29.33,1497.4
42942.43056,17.12,21.81,29.39,1497.83
42942.44097,17.3,21.81,29.51,1498.4
42942.45139,17.51,21.77,29.6,1499
42942.46181,17.69,21.73,29.66,1499.5
42942.47222,17.75,21.69,29.66,1499.64
42942.48264,17.78,21.67,29.66,1499.71
42942.49306,17.69,21.64,29.56,1499.4
42942.50347,17.81,21.6,29.59,1499.72
42942.51389,17.69,21.54,29.43,1499.28
42942.52431,17.89,21.47,29.49,1499.85
42942.53472,18.76,21.45,30.02,1502.42
42942.54514,19.14,21.32,30.11,1503.42
42942.55556,20.76,0.01,0,1484.09
42942.56597,24.51,0.01,0,1495.02
42942.57639,25.55,0.01,0,1497.88
42942.58681,26.57,0.01,0,1500.58
42942.59722,28.01,0.01,0,1504.33
42942.60764,29.27,0.01,0,1507.45
42942.61806,30.46,0.01,0,1510.35
42942.62847,30.99,0.01,0,1511.6
42942.63889,31.02,0.01,0,1511.67
42942.64931,27.41,0.01,0,1502.77
42942.65972,24.97,0.01,0,1496.3
42942.67014,23.52,0.01,0,1492.25
42942.68056,22.62,0.01,0,1489.66
42942.69097,21.17,21.84,32.13,1509.85
